history:LTA_REF/LTA_1A_TEMP,,,
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:29 PM CT,,,
,,,
Timestamp,Trend Flags,Status,Value (°F)
2019-十月-8 18:10:00 PM CT,{start},"{fault,down,stale}",-40.0 °F
2019-十月-8 18:20:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 18:30:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 18:40:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 18:50:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 19:00:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 19:10:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 19:20:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 19:30:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 19:40:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 19:50:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 20:00:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 20:10:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 20:20:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 20:30:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 20:40:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 20:50:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 21:00:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 21:10:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 21:20:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 21:30:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 21:40:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 21:50:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 22:00:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 22:10:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 22:20:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 22:30:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 22:40:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 22:50:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 23:00:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 23:10:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 23:20:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 23:30:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 23:40:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-8 23:50:00 PM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 00:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 00:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 00:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 00:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 00:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 00:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 01:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 01:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 01:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 01:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 01:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 01:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 02:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 02:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 02:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 02:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 02:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 02:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 03:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 03:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 03:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 03:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 03:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 03:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 04:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 04:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 04:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 04:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 04:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 04:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 05:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 05:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 05:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 05:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 05:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 05:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 06:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 06:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 06:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 06:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 06:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 06:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 07:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 07:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 07:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 07:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 07:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 07:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 08:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 08:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 08:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 08:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 08:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 08:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 09:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 09:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 09:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 09:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 09:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 09:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 10:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 10:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 10:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 10:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 10:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 10:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 11:00:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 11:10:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 11:20:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 11:30:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 11:40:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 11:50:00 AM CT,{ },"{fault,down,stale}",-40.0 °F
2019-十月-9 12:00:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 12:10:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 12:20:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 12:30:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 12:40:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 12:50:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 13:00:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 13:10:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-1.0 °F
2019-十月-9 13:20:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-19.5 °F
2019-十月-9 13:30:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-29.0 °F
2019-十月-9 13:40:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 13:50:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 14:00:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 14:10:00 PM CT,{ },"{alarm,unackedAlarm}",-6.0 °F
2019-十月-9 14:20:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 14:30:00 PM CT,{ },"{alarm,unackedAlarm}",-16.0 °F
2019-十月-9 14:40:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 14:50:00 PM CT,{ },"{fault,alarm,unackedAlarm}",-39.5 °F
2019-十月-9 15:00:00 PM CT,{ },"{fault,unackedAlarm}",88.0 °F
2019-十月-9 15:10:00 PM CT,{ },"{fault,unackedAlarm}",88.0 °F
2019-十月-9 15:20:00 PM CT,{ },{unackedAlarm},7.5 °F
2019-十月-9 15:30:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 15:40:01 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 15:50:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-9 16:00:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-9 16:10:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 16:20:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-9 16:30:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 16:40:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-9 16:50:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-9 17:00:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-9 17:30:00 PM CT,{start},{unackedAlarm},4.5 °F
2019-十月-9 17:40:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 17:50:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-9 18:00:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 18:10:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-9 18:20:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-9 18:30:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 18:40:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 18:50:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-9 19:00:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-9 19:10:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-9 19:20:00 PM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-9 19:30:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-9 19:40:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 19:50:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 20:00:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 20:10:00 PM CT,{ },{unackedAlarm},7.0 °F
2019-十月-9 20:20:00 PM CT,{ },{unackedAlarm},-10.0 °F
2019-十月-9 20:30:00 PM CT,{ },{unackedAlarm},40.5 °F
2019-十月-9 20:40:00 PM CT,{ },{unackedAlarm},6.0 °F
2019-十月-9 20:50:00 PM CT,{ },"{fault,unackedAlarm}",-39.5 °F
2019-十月-9 21:00:00 PM CT,{ },{unackedAlarm},-3.0 °F
2019-十月-9 21:10:00 PM CT,{ },{unackedAlarm},-9.5 °F
2019-十月-9 21:20:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 21:30:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 21:40:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-9 21:50:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 22:00:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-9 22:10:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 22:20:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 22:30:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-9 22:40:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-9 22:50:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-9 23:00:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-9 23:10:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 23:20:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-9 23:30:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-9 23:40:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-9 23:50:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 00:00:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 00:10:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 00:20:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 00:30:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 00:40:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 00:50:00 AM CT,{ },{unackedAlarm},-9.0 °F
2019-十月-10 01:00:00 AM CT,{ },{unackedAlarm},-9.0 °F
2019-十月-10 01:10:00 AM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 01:20:00 AM CT,{ },{unackedAlarm},-8.5 °F
2019-十月-10 01:30:00 AM CT,{ },{unackedAlarm},-9.0 °F
2019-十月-10 01:40:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 01:50:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 02:00:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 02:10:00 AM CT,{ },{unackedAlarm},8.0 °F
2019-十月-10 02:20:00 AM CT,{ },{unackedAlarm},31.5 °F
2019-十月-10 02:30:00 AM CT,{ },{unackedAlarm},42.5 °F
2019-十月-10 02:40:00 AM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-10 02:50:00 AM CT,{ },{unackedAlarm},3.5 °F
2019-十月-10 03:00:00 AM CT,{ },{unackedAlarm},-1.0 °F
2019-十月-10 03:10:00 AM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 03:20:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 03:30:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 03:40:00 AM CT,{ },{unackedAlarm},-1.5 °F
2019-十月-10 03:50:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 04:00:00 AM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 04:10:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 04:20:00 AM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 04:30:00 AM CT,{ },{unackedAlarm},-8.5 °F
2019-十月-10 04:40:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 04:50:00 AM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 05:00:00 AM CT,{ },{unackedAlarm},-8.5 °F
2019-十月-10 05:10:00 AM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 05:20:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 05:30:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 05:40:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 05:50:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 06:00:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 06:10:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 06:20:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 06:30:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 06:40:00 AM CT,{ },{unackedAlarm},-8.5 °F
2019-十月-10 06:50:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 07:00:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 07:10:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 07:20:00 AM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 07:30:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 07:40:00 AM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-10 07:50:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 08:00:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 08:10:00 AM CT,{ },{unackedAlarm},8.5 °F
2019-十月-10 08:20:00 AM CT,{ },{unackedAlarm},30.5 °F
2019-十月-10 08:30:00 AM CT,{ },{unackedAlarm},42.5 °F
2019-十月-10 08:40:00 AM CT,{ },{unackedAlarm},-3.0 °F
2019-十月-10 08:50:00 AM CT,{ },{unackedAlarm},-18.5 °F
2019-十月-10 09:00:00 AM CT,{ },{unackedAlarm},-0.5 °F
2019-十月-10 09:10:00 AM CT,{ },{unackedAlarm},-11.5 °F
2019-十月-10 09:20:00 AM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 09:30:00 AM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 09:40:00 AM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 09:50:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 10:00:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 10:10:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 10:20:00 AM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 10:30:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 10:40:00 AM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 10:50:00 AM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 11:00:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 11:10:00 AM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-10 11:20:00 AM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 11:30:00 AM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 11:40:00 AM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 11:50:00 AM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 12:00:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 12:10:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 12:20:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-10 12:30:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-10 12:40:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 12:50:00 PM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-10 13:00:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 13:10:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 13:20:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 13:30:00 PM CT,{ },{unackedAlarm},-8.5 °F
2019-十月-10 13:40:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 13:50:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 14:00:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 14:10:00 PM CT,{ },{unackedAlarm},14.5 °F
2019-十月-10 14:20:00 PM CT,{ },{unackedAlarm},37.0 °F
2019-十月-10 14:30:00 PM CT,{ },{unackedAlarm},47.5 °F
2019-十月-10 14:40:00 PM CT,{ },"{fault,unackedAlarm}",-39.5 °F
2019-十月-10 14:50:00 PM CT,{ },{unackedAlarm},-15.0 °F
2019-十月-10 15:00:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 15:10:00 PM CT,{ },{unackedAlarm},-5.5 °F
